 Value      Quantile    Agg Count      1/1   
 2930688           0           0       1.000
 2932735         0.1           0       1.111
 2932735         0.2           0       1.250
 2932735         0.3           0       1.429
 2932735         0.4           0       1.667
 2932735         0.5           1       2.000
 3127295        0.55           1       2.222
 3127295         0.6           1       2.500
 3127295        0.65           1       2.857
 3127295         0.7           1       3.333
 3127295        0.75           1       4.000
 3127295       0.775           1       4.444
 3127295         0.8           1       5.000
 3127295       0.825           1       5.714
 3127295        0.85           1       6.667
 3127295       0.875           1       8.000
 3127295      0.8875           1       8.889
 3127295         0.9           1      10.000
 3127295      0.9125           1      11.429
 3127295       0.925           1      13.333
 3127295      0.9375           1      16.000
 3127295     0.94375           1      17.778
 3127295        0.95           1      20.000
 3127295     0.95625           1      22.857
 3127295      0.9625           1      26.667
 3127295     0.96875           1      32.000
 3127295    0.971875           1      35.556
 3127295       0.975           1      40.000
 3127295    0.978125           1      45.714
 3127295     0.98125           1      53.333
 3127295    0.984375           1      64.000
 3127295    0.985938           1      71.114
 3127295      0.9875           1      80.000
 3127295    0.989062           1      91.424
 3127295    0.990625           1     106.667
 3127295    0.992188           1     128.008
 3127295    0.992969           1     142.227
 3127295     0.99375           1     160.000
 3127295    0.994531           1     182.849
 3127295    0.995313           1     213.356
 3127295    0.996094           1     256.016
 3127295    0.996484           1     284.414
 3127295    0.996875           1     320.000
 3127295    0.997266           1     365.764
 3127295    0.997656           1     426.621
 3127295    0.998047           1     512.033
 3127295    0.998242           1     568.828
 3127295    0.998437           1     639.795
 3127295    0.998633           1     731.529
 3127295    0.998828           1     853.242
 3127295    0.999023           1    1023.541
 3127295    0.999121           1    1137.656
 3127295    0.999219           1    1280.410
 3127295    0.999316           1    1461.988
 3127295    0.999414           1    1706.485
 3127295    0.999512           1    2049.180
 3127295    0.999561           1    2277.904
 3127295    0.999609           1    2557.545
 3127295    0.999658           1    2923.977
 3127295    0.999707           1    3412.969
 3127295    0.999756           1    4098.361
 3127295     0.99978           1    4545.455
 3127295    0.999805           1    5128.205
 3127295    0.999829           1    5847.953
 3127295    0.999854           1    6849.315
 3127295    0.999878           1    8196.721
 3127295     0.99989           1    9090.909
 3127295    0.999902           1    10204.082
 3127295    0.999915           1    11764.706
 3127295    0.999927           1    13698.630
 3127295    0.999933           1    14925.373
 3127295     0.99994           1    16666.667
 3127295    0.999946           1    18518.519
 3127295    0.999952           1    20833.333
 3127295    0.999957           1    23255.814
 3127295    0.999962           1    26315.789
 3127295    0.999966           1    29411.765
 3127295     0.99997           1    33333.333
 3127295    0.999974           1    38461.538
 3127295    0.999977           1    43478.261
 3127295     0.99998           1    50000.000
 3127295    0.999982           1    55555.556
 3127295    0.999984           1    62500.000
 3127295    0.999986           1    71428.571
 3127295    0.999988           1    83333.333
 3127295     0.99999           1    100000.000
 3127295    0.999991           1    111111.111
 3127295    0.999992           1    125000.000
 3127295    0.999993           1    142857.143
 3127295    0.999994           1    166666.667
 3127295    0.999995           1    200000.000
 3127295    0.999996           1    250000.000
 3127295    0.999997           1    333333.333
 3127295    0.999998           1    500000.000
 3127295    0.999999           1    1000000.000
 3127295           1           2         inf
