 Value      Quantile    Agg Count      1/1   
      15           0           0       1.000
      31         0.1        2258       1.111
      33         0.2        4516       1.250
      34         0.3        6774       1.429
      36         0.4        9032       1.667
      38         0.5       11290       2.000
      39        0.55       12419       2.222
      40         0.6       13548       2.500
      41        0.65       14677       2.857
      43         0.7       15805       3.333
      45        0.75       16935       4.000
      46       0.775       17499       4.444
      47         0.8       18064       5.000
      49       0.825       18628       5.714
      51        0.85       19193       6.667
      53       0.875       19757       8.000
      54      0.8875       20039       8.889
      55         0.9       20322      10.000
      58      0.9125       20604      11.429
      61       0.925       20886      13.333
      65      0.9375       21168      16.000
      68     0.94375       21309      17.778
      74        0.95       21451      20.000
      80     0.95625       21592      22.857
      84      0.9625       21733      26.667
      87     0.96875       21874      32.000
      88    0.971875       21944      35.556
      89       0.975       22015      40.000
      91    0.978125       22086      45.714
      93     0.98125       22156      53.333
      95    0.984375       22227      64.000
      96    0.985938       22262      71.114
      97      0.9875       22297      80.000
      97    0.989062       22333      91.424
      98    0.990625       22368     106.667
     100    0.992188       22403     128.008
     101    0.992969       22421     142.227
     102     0.99375       22438     160.000
     103    0.994531       22456     182.849
     104    0.995313       22474     213.356
     105    0.996094       22491     256.016
     106    0.996484       22500     284.414
     108    0.996875       22509     320.000
     111    0.997266       22518     365.764
     112    0.997656       22527     426.621
     115    0.998047       22535     512.033
     117    0.998242       22540     568.828
     120    0.998437       22544     639.795
     124    0.998633       22549     731.529
     131    0.998828       22553     853.242
     138    0.999023       22557    1023.541
     143    0.999121       22560    1137.656
     148    0.999219       22562    1280.410
     159    0.999316       22564    1461.988
     164    0.999414       22566    1706.485
     173    0.999512       22568    2049.180
     178    0.999561       22570    2277.904
     188    0.999609       22571    2557.545
     189    0.999658       22572    2923.977
     190    0.999707       22573    3412.969
     200    0.999756       22574    4098.361
     210     0.99978       22575    4545.455
     210    0.999805       22575    5128.205
     226    0.999829       22576    5847.953
     226    0.999854       22576    6849.315
     232    0.999878       22577    8196.721
     232     0.99989       22577    9090.909
     232    0.999902       22577    10204.082
     278    0.999915       22578    11764.706
     278    0.999927       22578    13698.630
     278    0.999933       22578    14925.373
     278     0.99994       22578    16666.667
     278    0.999946       22578    18518.519
     278    0.999952       22578    20833.333
     316    0.999957       22579    23255.814
     316    0.999962       22579    26315.789
     316    0.999966       22579    29411.765
     316     0.99997       22579    33333.333
     316    0.999974       22579    38461.538
     316    0.999977       22579    43478.261
     316     0.99998       22579    50000.000
     316    0.999982       22579    55555.556
     316    0.999984       22579    62500.000
     316    0.999986       22579    71428.571
     316    0.999988       22579    83333.333
     316     0.99999       22579    100000.000
     316    0.999991       22579    111111.111
     316    0.999992       22579    125000.000
     316    0.999993       22579    142857.143
     316    0.999994       22579    166666.667
     316    0.999995       22579    200000.000
     316    0.999996       22579    250000.000
     316    0.999997       22579    333333.333
     316    0.999998       22579    500000.000
     316    0.999999       22579    1000000.000
     316           1       22580         inf
