 Value      Quantile    Agg Count      1/1   
     380           0           0       1.000
    7235         0.1         247       1.111
    9695         0.2         495       1.250
   11167         0.3         743       1.429
   12783         0.4         991       1.667
   16319         0.5        1239       2.000
   20047        0.55        1363       2.222
   23519         0.6        1487       2.500
  580607        0.65        1611       2.857
  585215         0.7        1735       3.333
  604159        0.75        1859       4.000
  613887       0.775        1921       4.444
  654335         0.8        1983       5.000
  688127       0.825        2045       5.714
  788991        0.85        2107       6.667
  794623       0.875        2169       8.000
  795647      0.8875        2200       8.889
  796159         0.9        2231      10.000
  799231      0.9125        2262      11.429
  800255       0.925        2293      13.333
  806911      0.9375        2324      16.000
  867839     0.94375        2339      17.778
  868863        0.95        2355      20.000
  873471     0.95625        2370      22.857
 1084415      0.9625        2386      26.667
 1088511     0.96875        2401      32.000
 1089535    0.971875        2409      35.556
 1090559       0.975        2417      40.000
 1090559    0.978125        2424      45.714
 1093631     0.98125        2432      53.333
 1093631    0.984375        2440      64.000
 1094655    0.985938        2444      71.114
 1095679      0.9875        2448      80.000
 1095679    0.989062        2451      91.424
 1095679    0.990625        2455     106.667
 1096703    0.992188        2459     128.008
 1096703    0.992969        2461     142.227
 1096703     0.99375        2463     160.000
 1096703    0.994531        2465     182.849
 1097727    0.995313        2467     213.356
 1947647    0.996094        2469     256.016
 1947647    0.996484        2470     284.414
 1947647    0.996875        2471     320.000
 1947647    0.997266        2472     365.764
 1947647    0.997656        2473     426.621
 1948671    0.998047        2474     512.033
 1948671    0.998242        2474     568.828
 1948671    0.998437        2475     639.795
 1948671    0.998633        2475     731.529
 1948671    0.998828        2476     853.242
 1948671    0.999023        2476    1023.541
 1948671    0.999121        2476    1137.656
 1948671    0.999219        2477    1280.410
 1948671    0.999316        2477    1461.988
 1948671    0.999414        2477    1706.485
 1948671    0.999512        2477    2049.180
 1948671    0.999561        2477    2277.904
 1949695    0.999609        2478    2557.545
 1949695    0.999658        2478    2923.977
 1949695    0.999707        2478    3412.969
 1949695    0.999756        2478    4098.361
 1949695     0.99978        2478    4545.455
 1949695    0.999805        2478    5128.205
 1949695    0.999829        2478    5847.953
 1949695    0.999854        2478    6849.315
 1949695    0.999878        2478    8196.721
 1949695     0.99989        2478    9090.909
 1949695    0.999902        2478    10204.082
 1949695    0.999915        2478    11764.706
 1949695    0.999927        2478    13698.630
 1949695    0.999933        2478    14925.373
 1949695     0.99994        2478    16666.667
 1949695    0.999946        2478    18518.519
 1949695    0.999952        2478    20833.333
 1949695    0.999957        2478    23255.814
 1949695    0.999962        2478    26315.789
 1949695    0.999966        2478    29411.765
 1949695     0.99997        2478    33333.333
 1949695    0.999974        2478    38461.538
 1949695    0.999977        2478    43478.261
 1949695     0.99998        2478    50000.000
 1949695    0.999982        2478    55555.556
 1949695    0.999984        2478    62500.000
 1949695    0.999986        2478    71428.571
 1949695    0.999988        2478    83333.333
 1949695     0.99999        2478    100000.000
 1949695    0.999991        2478    111111.111
 1949695    0.999992        2478    125000.000
 1949695    0.999993        2478    142857.143
 1949695    0.999994        2478    166666.667
 1949695    0.999995        2478    200000.000
 1949695    0.999996        2478    250000.000
 1949695    0.999997        2478    333333.333
 1949695    0.999998        2478    500000.000
 1949695    0.999999        2478    1000000.000
 1949695           1        2479         inf
